productId,productName,category,basePrice
P0000,Deluxe Jacket 0,Electronics,217.92
P0001,Urban Notebook 1,Toys,276.84
P0002,Classic Speaker 2,Sports,429.42
P0003,Classic Lamp 3,Beauty,382.66
P0004,Smart Jacket 4,Electronics,195.86
P0005,Urban Jacket 5,Groceries,126.59
P0006,Classic Jacket 6,Beauty,41.87
P0007,Smart Notebook 7,Groceries,469.64
P0008,Smart Bottle 8,Garden,413.54
P0009,Smart Chair 9,Electronics,23.73
P0010,Modern Jacket 10,Groceries,478.44
P0011,Classic Notebook 11,Sports,390.02
P0012,Modern Lamp 12,Groceries,280.85
P0013,Modern Speaker 13,Books,141.98
P0014,Classic Speaker 14,Beauty,283.03
P0015,Deluxe Lamp 15,Garden,142.29
P0016,Classic Jacket 16,Toys,392.77
P0017,Deluxe Notebook 17,Clothing,283.15
P0018,Smart Bottle 18,Beauty,357.16
P0019,Urban Chair 19,Books,238.8
P0020,Smart Lamp 20,Garden,414.33
P0021,Smart Notebook 21,Groceries,172.89
P0022,Classic Jacket 22,Beauty,175.93
P0023,Classic Lamp 23,Garden,496.06
P0024,Modern Notebook 24,Groceries,479.02
P0025,Smart Chair 25,Electronics,333.64
P0026,Deluxe Chair 26,Beauty,356.16
P0027,Smart Speaker 27,Beauty,238.07
P0028,Modern Chair 28,Clothing,484.73
P0029,Classic Lamp 29,Toys,302.75
P0030,Classic Lamp 30,Beauty,143.78
P0031,Compact Bottle 31,Sports,419.23
P0032,Modern Notebook 32,Garden,465.98
P0033,Classic Notebook 33,Beauty,394.64
P0034,Classic Bottle 34,Electronics,162.82
P0035,Compact Lamp 35,Groceries,23.15
P0036,Classic Speaker 36,Groceries,216.98
P0037,Smart Chair 37,Beauty,91.73
P0038,Smart Speaker 38,Beauty,22.52
P0039,Urban Jacket 39,Beauty,176.51
P0040,Smart Speaker 40,Sports,406.19
P0041,Modern Bottle 41,Beauty,213.96
P0042,Urban Bottle 42,Clothing,125.83
P0043,Compact Speaker 43,Toys,14.48
P0044,Compact Speaker 44,Toys,366.55
P0045,Modern Bottle 45,Books,65.23
P0046,Urban Jacket 46,Books,388.45
P0047,Urban Lamp 47,Electronics,292.34
P0048,Deluxe Bottle 48,Books,355.62
P0049,Classic Chair 49,Electronics,351.4
P0050,Classic Lamp 50,Groceries,262.48
P0051,Compact Jacket 51,Sports,284.79
P0052,Modern Speaker 52,Sports,443.23
P0053,Deluxe Lamp 53,Beauty,317.93
P0054,Deluxe Bottle 54,Books,259.0
P0055,Modern Bottle 55,Beauty,415.61
P0056,Classic Notebook 56,Toys,335.29
P0057,Smart Jacket 57,Books,115.02
P0058,Urban Lamp 58,Groceries,278.74
P0059,Smart Bottle 59,Clothing,373.49
P0060,Modern Bottle 60,Garden,427.91
P0061,Compact Speaker 61,Toys,463.79
P0062,Deluxe Lamp 62,Clothing,182.3
P0063,Urban Notebook 63,Groceries,261.32
P0064,Classic Notebook 64,Toys,145.32
P0065,Urban Speaker 65,Clothing,297.07
P0066,Classic Jacket 66,Beauty,343.11
P0067,Deluxe Jacket 67,Electronics,282.97
P0068,Classic Speaker 68,Beauty,99.67
P0069,Smart Chair 69,Garden,203.68
P0070,Compact Notebook 70,Clothing,22.42
P0071,Urban Jacket 71,Garden,90.49
P0072,Classic Speaker 72,Beauty,320.67
P0073,Classic Speaker 73,Sports,192.89
P0074,Deluxe Bottle 74,Beauty,127.17
P0075,Deluxe Jacket 75,Books,392.05
P0076,Smart Notebook 76,Clothing,309.09
P0077,Smart Jacket 77,Books,82.25
P0078,Smart Speaker 78,Electronics,453.22
P0079,Classic Chair 79,Garden,299.7
P0080,Compact Lamp 80,Garden,55.6
P0081,Smart Bottle 81,Groceries,125.27
P0082,Compact Chair 82,Electronics,120.21
P0083,Deluxe Chair 83,Garden,286.23
P0084,Deluxe Speaker 84,Books,276.03
P0085,Classic Bottle 85,Garden,140.15
P0086,Urban Jacket 86,Electronics,63.41
P0087,Smart Speaker 87,Garden,130.81
P0088,Urban Lamp 88,Clothing,96.6
P0089,Deluxe Chair 89,Toys,176.42
P0090,Modern Jacket 90,Electronics,191.11
P0091,Compact Jacket 91,Groceries,68.86
P0092,Urban Speaker 92,Toys,287.78
P0093,Smart Chair 93,Toys,37.03
P0094,Urban Notebook 94,Garden,300.46
P0095,Modern Lamp 95,Sports,220.51
P0096,Classic Chair 96,Clothing,395.3
P0097,Urban Speaker 97,Groceries,268.24
P0098,Deluxe Speaker 98,Toys,453.82
P0099,Urban Bottle 99,Clothing,205.51
P0100,Deluxe Notebook 100,Electronics,129.58
P0101,Smart Notebook 101,Books,498.57
P0102,Compact Jacket 102,Groceries,129.32
P0103,Modern Speaker 103,Books,412.28
P0104,Deluxe Speaker 104,Garden,54.0
P0105,Modern Speaker 105,Groceries,194.41
P0106,Classic Notebook 106,Toys,87.33
P0107,Modern Speaker 107,Garden,136.88
P0108,Compact Notebook 108,Groceries,485.66
P0109,Smart Bottle 109,Clothing,53.82
P0110,Deluxe Lamp 110,Sports,55.46
P0111,Modern Chair 111,Groceries,471.0
P0112,Deluxe Jacket 112,Beauty,397.13
P0113,Classic Chair 113,Books,395.52
P0114,Deluxe Chair 114,Electronics,463.05
P0115,Deluxe Lamp 115,Garden,387.65
P0116,Deluxe Speaker 116,Sports,84.12
P0117,Classic Jacket 117,Clothing,201.09
P0118,Classic Speaker 118,Toys,479.39
P0119,Compact Jacket 119,Clothing,147.24
P0120,Classic Notebook 120,Sports,166.81
P0121,Urban Chair 121,Toys,329.9
P0122,Urban Lamp 122,Electronics,245.46
P0123,Modern Bottle 123,Beauty,375.34
P0124,Deluxe Bottle 124,Garden,368.63
P0125,Deluxe Notebook 125,Books,142.08
P0126,Modern Jacket 126,Toys,416.51
P0127,Compact Chair 127,Beauty,489.7
P0128,Deluxe Lamp 128,Toys,410.25
P0129,Modern Jacket 129,Books,39.14
P0130,Compact Jacket 130,Sports,263.24
P0131,Deluxe Notebook 131,Clothing,124.37
P0132,Modern Notebook 132,Beauty,288.86
P0133,Modern Lamp 133,Toys,329.75
P0134,Modern Notebook 134,Books,232.88
P0135,Compact Speaker 135,Toys,204.72
P0136,Classic Lamp 136,Books,164.97
P0137,Classic Speaker 137,Groceries,257.66
P0138,Compact Notebook 138,Toys,59.3
P0139,Smart Lamp 139,Beauty,205.46
P0140,Modern Notebook 140,Clothing,260.19
P0141,Smart Notebook 141,Garden,220.56
P0142,Compact Lamp 142,Clothing,72.89
P0143,Deluxe Speaker 143,Toys,297.18
P0144,Urban Jacket 144,Groceries,166.55
P0145,Classic Lamp 145,Groceries,335.76
P0146,Classic Speaker 146,Electronics,263.32
P0147,Smart Notebook 147,Garden,445.71
P0148,Classic Bottle 148,Electronics,325.72
P0149,Urban Chair 149,Beauty,486.47
P0150,Smart Lamp 150,Electronics,225.19
P0151,Modern Chair 151,Beauty,470.91
P0152,Compact Bottle 152,Garden,415.32
P0153,Urban Lamp 153,Beauty,444.48
P0154,Classic Speaker 154,Electronics,55.65
P0155,Compact Chair 155,Groceries,33.42
P0156,Classic Lamp 156,Books,275.96
P0157,Urban Bottle 157,Garden,70.71
P0158,Classic Bottle 158,Garden,297.61
P0159,Deluxe Lamp 159,Electronics,226.28
P0160,Classic Jacket 160,Garden,316.02
P0161,Modern Lamp 161,Groceries,259.73
P0162,Deluxe Notebook 162,Toys,459.98
P0163,Smart Jacket 163,Electronics,70.44
P0164,Modern Bottle 164,Sports,337.95
P0165,Classic Chair 165,Sports,490.04
P0166,Urban Jacket 166,Groceries,350.57
P0167,Deluxe Lamp 167,Sports,335.06
P0168,Classic Lamp 168,Toys,124.96
P0169,Compact Notebook 169,Sports,80.67
P0170,Deluxe Bottle 170,Toys,441.39
P0171,Smart Bottle 171,Sports,442.47
P0172,Urban Notebook 172,Beauty,131.58
P0173,Smart Notebook 173,Toys,138.5
P0174,Compact Lamp 174,Toys,361.98
P0175,Classic Speaker 175,Clothing,255.78
P0176,Deluxe Bottle 176,Electronics,195.29
P0177,Compact Speaker 177,Clothing,149.94
P0178,Deluxe Notebook 178,Garden,318.82
P0179,Deluxe Lamp 179,Groceries,240.09
P0180,Deluxe Speaker 180,Books,411.1
P0181,Urban Lamp 181,Beauty,320.12
P0182,Urban Jacket 182,Beauty,303.92
P0183,Urban Jacket 183,Beauty,114.27
P0184,Smart Lamp 184,Clothing,495.69
P0185,Smart Notebook 185,Books,400.12
P0186,Urban Speaker 186,Garden,393.46
P0187,Smart Jacket 187,Clothing,419.98
P0188,Compact Jacket 188,Beauty,429.37
P0189,Urban Speaker 189,Toys,364.12
P0190,Smart Speaker 190,Books,418.66
P0191,Classic Notebook 191,Sports,40.66
P0192,Modern Speaker 192,Electronics,262.23
P0193,Classic Notebook 193,Electronics,211.88
P0194,Modern Bottle 194,Books,451.48
P0195,Smart Lamp 195,Groceries,131.44
P0196,Deluxe Lamp 196,Garden,111.61
P0197,Classic Lamp 197,Sports,252.2
P0198,Modern Lamp 198,Electronics,382.74
P0199,Modern Bottle 199,Sports,364.59
