orderId,customerId,productId,quantity,unitPrice,country,orderDate
T0000000,C00404,P0075,5,368.16,Germany,2024-12-31
T0000001,C01856,P0152,4,398.19,Germany,2024-03-19
T0000002,C00989,P0049,5,310.72,Israel,2024-09-02
T0000003,C00515,P0184,3,425.55,USA,2024-12-06
T0000004,C00582,P0084,2,257.98,Japan,2024-01-08
T0000005,C00812,P0021,2,158.37,Italy,2024-03-29
T0000006,C01998,P0156,5,254.4,Brazil,2024-10-01
T0000007,C01153,P0156,5,273.44,USA,2024-11-26
T0000008,C01789,P0103,1,396.06,Brazil,2024-01-18
T0000009,C01971,P0185,2,375.53,Spain,2024-10-27
T0000010,C01798,P0190,3,384.84,UK,2024-01-25
T0000011,C00379,P0090,3,166.35,France,2024-04-16
T0000012,C01027,P0048,4,334.16,Japan,2024-04-09
T0000013,C01180,P0125,5,136.89,UK,2024-10-26
T0000014,C01376,P0114,1,460.67,USA,2024-05-27
T0000015,C00924,P0070,2,22.37,USA,2024-05-09
T0000016,C00867,P0131,2,114.76,Israel,2024-08-10
T0000017,C00915,P0084,1,251.88,Canada,2024-06-12
T0000018,C00688,P0045,4,64.06,Israel,2024-03-01
T0000019,C00628,P0057,1,105.44,Spain,2024-07-06
T0000020,C00618,P0134,1,214.53,Spain,2024-12-16
T0000021,C01411,P0175,2,213.62,Israel,2024-08-22
T0000022,C00993,P0101,4,442.7,Canada,2024-09-18
T0000023,C01903,P0019,4,211.3,Japan,2024-12-23
T0000024,C01344,P0057,5,114.05,France,2024-04-20
T0000025,C01624,P0119,4,145.24,USA,2024-07-06
T0000026,C01809,P0019,4,233.44,Spain,2024-02-25
T0000027,C01401,P0134,4,212.57,Spain,2024-07-16
T0000028,C01366,P0084,2,227.51,Brazil,2024-09-14
T0000029,C01668,P0109,5,49.06,UK,2024-09-26
T0000030,C00539,P0125,2,140.83,Japan,2024-03-26
T0000031,C00064,P0132,2,247.29,Germany,2024-03-29
T0000032,C00306,P0102,5,104.02,Germany,2024-09-20
T0000033,C01312,P0125,5,135.37,Germany,2024-08-31
T0000034,C01348,P0115,2,361.7,USA,2024-07-15
T0000035,C00552,P0176,1,193.99,Japan,2024-04-19
T0000036,C01896,P0148,2,314.22,Brazil,2024-03-12
T0000037,C00406,P0187,2,356.99,UK,2024-12-26
T0000038,C00281,P0025,2,321.35,Germany,2024-03-30
T0000039,C01621,P0103,3,389.38,Canada,2024-08-05
T0000040,C01050,P0017,3,246.84,Spain,2024-04-25
T0000041,C01501,P0111,5,435.04,Israel,2024-01-06
T0000042,C01016,P0002,3,379.5,Brazil,2024-11-13
T0000043,C00548,P0134,1,195.43,Italy,2024-09-07
T0000044,C01187,P0162,4,452.23,Japan,2024-12-07
T0000045,C01700,P0136,4,158.23,Brazil,2024-12-18
T0000046,C01821,P0109,1,43.47,Japan,2024-12-26
T0000047,C01020,P0084,4,244.26,Spain,2024-08-10
T0000048,C01200,P0134,4,193.75,UK,2024-06-24
T0000049,C00659,P0174,5,312.62,USA,2024-11-04
T0000050,C01024,P0190,5,363.67,Spain,2024-01-30
T0000051,C00948,P0180,1,408.79,France,2024-01-27
T0000052,C00335,P0165,2,448.31,Brazil,2024-08-11
T0000053,C00047,P0042,2,116.51,USA,2024-09-09
T0000054,C01628,P0134,1,206.39,Brazil,2024-01-03
T0000055,C00820,P0075,2,390.85,UK,2024-12-16
T0000056,C00412,P0071,2,73.33,Japan,2024-09-12
T0000057,C01932,P0119,2,144.21,France,2024-07-17
T0000058,C01378,P0099,4,195.08,Israel,2024-09-17
T0000059,C01025,P0068,3,90.6,Brazil,2024-05-03
T0000060,C01272,P0076,3,248.28,UK,2024-06-08
T0000061,C01016,P0165,1,482.27,Japan,2024-03-07
T0000062,C01775,P0175,3,239.59,Israel,2024-06-16
T0000063,C00819,P0190,3,375.56,Canada,2024-07-15
T0000064,C00876,P0048,2,299.39,France,2024-11-12
T0000065,C00870,P0165,3,457.29,Israel,2024-12-17
T0000066,C00970,P0109,3,53.47,Israel,2024-05-18
T0000067,C00057,P0089,3,158.61,France,2024-06-24
T0000068,C01742,P0054,3,247.25,Israel,2024-04-20
T0000069,C01256,P0159,5,188.54,Canada,2024-01-03
T0000070,C00450,P0156,2,257.09,Japan,2024-10-16
T0000071,C01713,P0002,1,403.47,USA,2024-01-06
T0000072,C00099,P0013,3,125.41,USA,2024-07-22
T0000073,C01681,P0130,4,244.01,UK,2024-11-15
T0000074,C01702,P0129,4,33.58,USA,2024-10-13
T0000075,C01073,P0177,2,136.65,Spain,2024-01-04
T0000076,C01125,P0101,3,472.75,Italy,2024-11-15
T0000077,C00827,P0113,3,358.44,USA,2024-11-21
T0000078,C01894,P0057,2,102.24,Brazil,2024-12-27
T0000079,C00521,P0046,5,386.92,Canada,2024-05-03
T0000080,C00486,P0161,1,226.87,Brazil,2024-08-27
T0000081,C00852,P0187,2,386.89,UK,2024-06-17
T0000082,C00282,P0045,1,61.75,Israel,2024-04-20
T0000083,C00860,P0115,4,355.2,UK,2024-11-07
T0000084,C01541,P0190,1,380.46,Canada,2024-09-03
T0000085,C01774,P0103,1,397.96,Japan,2024-10-01
T0000086,C01041,P0036,3,188.21,Spain,2024-11-09
T0000087,C01933,P0084,2,273.61,Israel,2024-05-10
T0000088,C00383,P0013,3,119.49,Germany,2024-09-27
T0000089,C01304,P0114,3,397.05,UK,2024-05-10
T0000090,C01884,P0070,1,20.85,Spain,2024-04-27
T0000091,C00743,P0136,4,135.3,France,2024-05-09
T0000092,C01432,P0179,5,217.49,Spain,2024-02-24
T0000093,C00695,P0113,5,335.12,Germany,2024-07-21
T0000094,C01179,P0187,5,398.98,Israel,2024-08-25
T0000095,C01664,P0170,5,394.88,USA,2024-11-08
T0000096,C01835,P0175,5,236.96,Brazil,2024-06-01
T0000097,C01529,P0010,4,457.68,Japan,2024-01-03
T0000098,C00375,P0113,5,383.54,Israel,2024-10-08
T0000099,C01728,P0051,4,229.88,Germany,2024-06-27
